,unique_id,current_price,predicted_price,pricing,Mouth,Background,Fur,Clothes,Eyes,Hat,Earring,image_url,contract_address,collection_name,timestamp
826,BoredApeYachtClub5990,95.01,95.3125,underpriced,Grin Diamond Grill,Army Green,Cream,Hawaiian,Sleepy,Army Hat,,https://lh3.googleusercontent.com/ifhQwbEzcRBodbs1KbNxZxZY2Wtz8oFZJ6_CddN4_XXKLr_6yKhCBO3teIRPbLXtaBy9ZrxgdN6Cp504RosyOOkQhb3Yqu5cteeZbQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:29:02.130077
827,BoredApeYachtClub5994,99.0,92.68299999999999,overpriced,Bored,Yellow,Tan,,Bored,Army Hat,,https://lh3.googleusercontent.com/ZcztvVUdTaekB3XH-cm3XVZOoksOw_0Ro_aHZn8zuNfCiefqgf_IjMBygDdNzhIW7WBkdqP3FUQRp0VSmttvX_jfolLvAU7GSvpl,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:29:08.511848
828,BoredApeYachtClub5995,84.3,77.5685,overpriced,Tongue Out,Purple,Robot,Lab Coat,Closed,,,https://lh3.googleusercontent.com/BoVWt28atiWrxy-lX9wB_HuUFBzep4LdH9yr2vW6UT2HuaoRk10pPstxgQqOvz0V0ByeTPdFfts7QAF7JvbmLBwyqebrLMSo5G6DGV8,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:29:10.228633
829,BoredApeYachtClub5996,84.3,188.8709,underpriced,Grin,Gray,Robot,Smoking Jacket,Sleepy,Faux Hawk,,https://lh3.googleusercontent.com/Ef4shleEYvqyu6z8po-lSUW6IpjNZeEHe2W5SgdR2q-l2IM6EZtJ6YDhvM2pIjKrx9Y8_DUjjhwlTLoM8FpbhLjgheBO43d9hog_ZA,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:29:11.943026
830,BoredApeYachtClub6000,84.3,85.04399999999997,underpriced,Bored,Blue,Robot,Bone Tee,Wide Eyed,Sushi Chef Headband,,https://lh3.googleusercontent.com/Gmlph7yUh_bfvTAERFV7f2yEbFdgYGKFyJZt50FGffGFABSwOkTOXXZ6spszPTOdIGq3KjWV9BSChEYClsTPIyVjtelsRpD7Djortw,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:30:17.383517
831,BoredApeYachtClub6002,73.12,83.80149999999999,underpriced,Bored Unshaven Bubblegum,New Punk Blue,Dark Brown,Leather Jacket,Bored,,,https://lh3.googleusercontent.com/ArEDJ4Vdh5T8d0ELdOiS7jVp1xEzUHZcM4UKY9BGvBdj5dL_wPnh-ErDlbTOJ0JIgkmfo2bReJ7GZZbYJVfQibTL3t786ct-C6TyPw,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:30:20.342067
832,BoredApeYachtClub6008,73.12,76.30899999999997,underpriced,Bored Cigarette,Yellow,Brown,Tie Dye,Bored,Police Motorcycle Helmet,Silver Hoop,https://lh3.googleusercontent.com/jwpEgzvrC2CBY27GoAXaZXFWd_N4OKMxqdrYpqGsYuVSBoCvtiqCrlTVIU5kYKYcBQzDY2dBOTqJ37Jzc8z2v39qIFNFyuzxyPCj9wM,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:30:29.653178
833,BoredApeYachtClub6009,84.3,85.56099999999996,underpriced,Dumbfounded,Yellow,Robot,Lumberjack Shirt,Crazy,,,https://lh3.googleusercontent.com/uLTj8kOE-EqRe64gneYOrZyE8qZeGdbAoN7oYHz_464l66-TXE4hXH1QKUaB--gH8L0wghtQZwjRm2rDT7K-DHf1oOj68RvWAbwVhQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:30:31.283142
834,BoredApeYachtClub6011,90.01,89.72399999999999,overpriced,Bored,Blue,Death Bot,Space Suit,Zombie,Army Hat,,https://lh3.googleusercontent.com/ZkVWYuZnM20JuFSZBKlJH1xdgFaeOKKdV3pikl-7HDYPIusWgzRC_K5PToh3hTF_IqSXW587QkaYKNNqwanfRIHsQfPrXl5ntdCFJQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:30:34.501926
835,BoredApeYachtClub6012,75.95,91.69100000000003,underpriced,Bored Unshaven,Purple,Death Bot,Leather Jacket,Bored,Cowboy Hat,,https://lh3.googleusercontent.com/LT2V9bnxd2KCRLZiqgItAMEAHNbtudZvq-cx-M_5XqxLPh8WbO_4nrJMWf2whe_qqlttk-2EkhVK9CUB9FsKCzyfh_MQcnYoIt9nbQ,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BoredApeYachtClub,2022-01-15 18:30:36.186953
